id,cms_department_id,faq_tag_id,faq_title,faq_slug,faq_body,faq_is_published,created_at,updated_at
1,5,1,Why can't I access some websites?,,"Certain sites are restricted to maintain security and productivity. If you believe a site is wrongly blocked, please send a request to ict.servicedesk@miescor.ph and complete the Application Access/Install Form.",1,,
2,5,1,I can't connect to the internet. What should I do?,,"Please check:Network cable or Wi-Fi connection Restart your PC or reconnect to Wi-Fi If the problem persists, contact the ICT Servicedesk via ict.servicedesk@miescor.ph / 09999934662 with your device name, company number, WiFi MAC Address, location, and time of issue.",1,,
3,5,1,How do I connect to the company Wi-Fi?,,"For employees: Contact the Servicedesk with your device name, company number, WiFi MAC Address and location.For Guests: Contact the Service Desk to obtain your password. Connect to the 'IAM' network, then open a browser and follow the instructions provided by the Service Desk.",1,,
4,5,2,How often should I change my password?,,"Every 90 days, following the company's security policy. Passwords must be at least 12 characters long and include letters, numbers, and symbols.",1,,
5,5,2,I forgot my password'what should I do?,,Contact the ICT Servicedesk via ict.servicedesk@miescor.ph / 09999934662,1,,
6,5,2,Why do I keep getting prompted to sign in?,,"This can happen due to:Expired passwords Cached credentials Multi-Factor Authentication (MFA) settings Try clearing browser cookies or re-adding your account in Outlook.",1,,
7,5,2,What happens when I lock my account?,,"If you type your password wrong several times, your account may lock for security reasons. Wait a few minutes, or contact ICT Servicedesk via ict.servicedesk@miescor.ph / 09999934662 to unlock it.",1,,
8,5,2,Can I use the same password for multiple accounts?,,"No, it's recommended to use a unique password for each account to reduce security risks.",1,,
9,5,3,How do I submit a request to create a new email account?,,"To request a new Office 365 email account: 1. Gather required information: Full Name, PERNR, Position/ Role Name, Subarea, Project Business Unit, Name of Organization Unit, Employee Status, Cost Center, Contact Number and Manager 2. Submit the request: Send an email to ict.servicedesk@miescor.ph 3. Approval: Ensure the request is approved by HRBP or the department manager if required. 4. IT creation: The IT team will create the mailbox, configure access, and apply security settings. 5. Notification: The new user will receive login credentials and setup instructions via SMS 6. First login: Change the temporary password, set up MFA, and configure Outlook on your devices.",1,,
10,5,3,How do I access my O365 email?,,"Web: Go to https://portal.office.com and sign in with your work account. Desktop: Use the Outlook application (part of Microsoft Office). Mobile: Download the Outlook app from the App Store (iOS) or Google Play Store (Android).",,1,
11,5,4,What is MFA (Multi-Factor Authentication)?,,MFA adds an extra security layer by requiring a code or app verification in addition to your password.,,1,
12,5,4,How can I report a suspected phishing email or network attack?,,Forward suspicious emails to Miescor Cybersecurity Group via csg@miescor.ph or the ICT Servicedesk via ict.servicedesk@miescor.ph immediately. Do not click any links or download attachments.,,1,
13,5,5,I forgot my password. How can I reset it?,,Contact the ICT Service Desk to verify your identity and reset your password.,,1,
14,5,6,My computer is running slow. What should I do?,,"Restart your computer, close unused applications, and check for updates. If the issue continues, contact the Service Desk for further troubleshooting.",,1,
15,5,7,I can't connect to Wi-Fi.,,"Check Wi-Fi. settings, ensure Airplane Mode is off, and restart your device. If it still doesn't connect, contact the Service Desk with details.",,1,
16,5,8,My email is not syncing / I can't send or receive emails.,,"Check your internet connection and mailbox size. Try signing out and back in. If unresolved, provide the Service Desk with a screenshot or error message.",,1,
17,5,9,Printer isn't working.,,"Ensure the printer is powered on, connected to the network, and has paper/toner. Restart your PC. If still not printing, send the printer name and error details to the Service Desk.",,1,
18,5,10,How do I request new software or system access?,,Submit an Access Request Form via email. All requests must be approved.,,1,
19,5,11,Who should I reach out to regarding ICT concerns / assistance?,,Contact the ICT Servicedesk via ict.servicedesk@miescor.ph,,1,
20,5,12,SAP logon says Connection to partner failed.,,This usually means the server is offline for maintenance or network connectivity is unstable. Wait a few minutes before retrying.,,1,
21,5,13,My SAP GUI freezes during use.,,"Close unused sessions and avoid multiple heavy reports. Single SAP Login can only handle 6 open windows per user.  If persistent, IT can check memory allocation or system connectivity.",,1,
22,5,14,Documents are not printing from SAP.,,"Verify printer setup and default device assignment. If the issue affects multiple users, IT will check the print server spooler.",,1,
23,5,15,SAP is slow today.,,High concurrent usage or background jobs can temporarily affect speed. IT monitors performance logs; report persistent issues for analysis.,,1,
24,5,16,I keep getting disconnected from SAP,,Check your network stability. Make sure to connect to the right SAP Router. Raise ticket to ICT Servicedesk if issue is persistent.,,1,
25,5,17,How often should I change my password?,,"Every 90 days, or immediately if you suspect compromise. For locked out accounts, raise ticket to ICT Servicedesk.",,1,
