cms_department_id,faq_tag_id,faq_title,faq_slug,faq_body,faq_is_published,,,,
9,,Does MIESCOR have a Company?s Code of Conduct? ,,"Yes. We have a Company Code on Employee Ethics and Discipline also known as ?CREED?. It promotes ethical behavior that ensures all employees act according with our core values: Integrity, Accountability and Malasakit.",,,,,
9,,Where can I get a copy of the CREED?,,You can access a copy of the CREED here: (link to be provided directing the user to the Downloadable Form),,,,,
9,,What can I report to Labor Relations?,,"Any alleged violations of the provisions of the CREED committed by an active employee/s. Provided, that the same has been escalated to the immediate supervisor, and said supervisor shall reduce the incident to a written and approved Incident Report, accompanied by supporting documents. The conduct of the administrative investigation process is treated with absolute confidentiality. ",,,,,
9,,"Where can I report theft, presence of suspicious individuals, and other security-related questions?  ",,The Security Hotline is available is available 24/7 on the following numbers: 0998 962 8661 and 0998 377 6326,,,,,
9,,What can I report to the Security Hotline? ,,"The following incidents can be reported: robbery or theft, presence of suspicious individuals, suspicious or unattended baggage, disturbances or physical altercation, unauthorized alcohol or drinking spree, gambling activities, illegal possession of a deadly weapon, harassment (verbal, sexual, or physical), illegal possession and use of prohibited drugs, acts of violence, vehicular accident, and other security-related concerns",,,,,
6,, What is the allocated budget for organizational planning?,,"The allocated budget is Php2,000 per eligible participants.",,,,,
6,,Can the budget be used for both organizational planning and team building activities simultaneously?,,No. It is not allowed to use the budget simultaneously. There is a separate policy for Team Building Request. Check here: https://miescor.sharepoint.com/sites/memorandum/Lists/Memorandum/Attachments/1091/Team%20Building%20Requests.pdf,,,,,
6,,"How to request for office furniture (table, chair, mobile pedestal, cabinet, etc.)?",,"To request office furniture, coordinate with the Administrative Services Associate, Ms. Analyn E. Mueca. Fill out the issuance form and be prepared to receive the requested items.",,,,,
6,,"How to report an issue on the HO facilities and equipment (comfort rooms, conference rooms, aircon, TV, etc.)?",,"To report an observation, open the Admin and General Services link (https://miescor.sharepoint.com/sites/AdminandGeneralServices) and under Repair and Maintenance click on ?Report for an observation?. You will be redirected to a Microsoft Form that must be accomplished and submitted.",,,,,
6,,"How to request for foreign travel approval? (for Vendor or Client sponsored trip, procurement or non-procurement related)",,"Email the Office of the President, c/o Ms. Lorna E. Escañan, to provide the purpose and other details of the business trip (e.g., date of travel, names of employees, etc.). A Request for Foreign Travel form will be forwarded to you. Complete the form and wait for approval. Once approved, the request for travel allowance will be submitted to Finance. You will be notified once the allowance is available for pick-up.",,,,,
